"","id","Year","Month","Day","day_of_week","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
"1",869700050,2015,1,20,2,316000,3,2.5,1490,4078,2,0,0,3,8,1490,0,1998,0,98059,47.4915,-122.155,1310,2767
"2",5637500070,2014,7,31,4,438000,3,2.5,1520,1304,2,0,0,3,8,1180,340,2006,0,98136,47.5446,-122.385,1270,1718
"3",3387900390,2014,10,7,2,255000,3,1.75,1410,9315,1,0,0,5,7,1410,0,1960,0,98031,47.3969,-122.198,1630,8250
"4",6386600130,2014,6,24,2,218000,3,1.5,1330,7600,1,0,0,4,7,1330,0,1968,0,98023,47.3103,-122.366,1500,7776
"5",2767603615,2014,9,3,3,481000,2,2.25,1290,1137,3,0,0,3,8,1290,0,2007,0,98107,47.6718,-122.382,1290,1332
"6",2341800195,2014,11,6,4,302000,2,1,890,5000,1,0,0,4,6,890,0,1947,0,98118,47.5526,-122.287,1160,5000
"7",579002220,2014,8,27,3,808000,3,2.5,2550,6240,1,0,3,5,8,1750,800,1957,0,98117,47.6992,-122.387,2180,5200
"8",1651800010,2014,7,2,3,1300000,4,1.75,2610,21600,1,0,0,4,8,2610,0,1966,0,98004,47.6245,-122.227,2920,20330
"9",2652501513,2014,8,13,3,539950,3,2,1560,3200,1.5,0,0,3,7,1560,0,1910,2007,98109,47.6398,-122.356,1240,3600
"10",8161000230,2015,4,27,1,498000,4,2.5,2300,22445,2,0,0,4,8,2300,0,1992,0,98014,47.6454,-121.902,2640,21886
"11",3326079016,2015,5,4,1,190000,2,1,710,1164794,1,0,0,2,5,710,0,1915,0,98014,47.6888,-121.909,1680,16730
"12",224069010,2014,7,25,5,653450,3,2.5,2070,49658,1,0,0,4,8,1540,530,1980,0,98075,47.5936,-122.013,2620,35160
"13",179001101,2015,1,5,1,135000,3,1,840,3000,1,0,0,3,5,840,0,1943,0,98178,47.494,-122.275,1010,6000
"14",5461300150,2014,12,11,4,1800000,5,2.75,2880,20274,1,0,3,4,9,1660,1220,1959,0,98004,47.6267,-122.222,3750,20220
"15",2205700470,2015,1,22,4,650500,5,4.25,3920,11412,2,0,0,3,7,3920,0,1955,2005,98006,47.5766,-122.151,1400,9750
"16",8121200820,2014,5,22,4,475000,3,2.25,1820,8008,1,0,0,3,8,1240,580,1981,0,98052,47.7206,-122.11,2030,8750
"17",3131201290,2015,3,17,2,9e+05,4,2.5,2660,3672,2,0,0,5,8,1800,860,1910,0,98105,47.6609,-122.324,1510,3825
"18",205000410,2014,9,15,1,630000,3,2.5,2320,32772,2,0,0,3,9,2320,0,1992,0,98053,47.6304,-121.988,2610,33305
"19",1193000025,2014,9,3,3,495000,2,1.5,1920,6250,1,0,0,3,7,1060,860,1937,0,98199,47.6497,-122.393,2070,6250
"20",2485000100,2014,5,29,4,685000,3,1.75,1940,7313,1,0,1,4,8,1440,500,1960,0,98136,47.5239,-122.387,2160,7200
